AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;HERMIGUA-DEPÓSITO AYUNTAMIENTO;Canarias;Santa Cruz de Tenerife;234,2;288
2015;10;HERRERA DEL DUQUE;Extremadura;Badajoz;54,4;120
2015;10;HERVAS;Extremadura;Cáceres;209,6;420
2015;10;HINOJOSA DEL DUQUE;Andalucía;Córdoba;43,0;204
2015;10;HONDARRIBIA-MALKARROA;País Vasco;Gipuzkoa;87,1;348
2015;10;HORTA DE SANT JOAN;Cataluña;Tarragona;4,6;24
2015;10;HOYOS;Extremadura;Cáceres;246,0;276
2015;10;HUELVA, RONDA ESTE;Andalucía;Huelva;101,8;420
2015;10;HUERCAL OVERA;Andalucía;Almería;20,5;156
2015;10;HUESCA;Aragón;Huesca;12,2;48
2015;10;HUESCA, AEROPUERTO;Aragón;Huesca;12,2;48
2015;10;HUÉSCAR;Andalucía;Granada;51,5;1320
2015;10;HÍJAR, DEPÓSITO;Aragón;Teruel;12,0;120
2015;10;IBIZA/ES CODOLÁ;Illes Balears;Illes Balears;99,8;828
2015;10;IGUALADA;Cataluña;Barcelona;19,2;828
2015;10;IRUN;País Vasco;Gipuzkoa;84,5;324
2015;10;IRURTZUN;Comunidad Foral de Navarra;Navarra;33,8;168
2015;10;ISABA/IZABA;Comunidad Foral de Navarra;Navarra;132,2;516
2015;10;IZAÑA;Canarias;Santa Cruz de Tenerife;32,2;108
2015;10;JABALOYAS, DEPÓSITO;Aragón;Teruel;37,8;60
2015;10;JACA;Aragón;Huesca;46,1;294
2015;10;JALANCE;Comunitat Valenciana;Valencia/València;24,8;132
2015;10;JARAICEJO;Extremadura;Cáceres;131,3;216
2015;10;JAÉN;Andalucía;Jaén;33,2;72
2015;10;JEREZ DE LA FRONTERA/AEROPUERTO;Andalucía;Cádiz;69,8;204
